,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
0,Chicago White Sox,1,Kansas City Royals,31.0,4.0,0.272,0.331,0.491,0.821,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,R,False,11.0
1,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.261,0.324,0.418,0.742,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,21.0
2,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.261,0.324,0.418,0.742,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,21.0
3,Washington Nationals,1,New York Mets,29.0,0.0,0.256,0.331,0.508,0.8390000000000001,3.38,2.0,452.0,1704.0,65%,15%,14%,50%,26%,5%,1.238,0.34299999999999997,9.4,5.05,R,L,True,2.0
4,Detroit Tigers,1,Cincinnati Reds,33.0,0.0,0.284,0.32,0.42100000000000004,0.741,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,L,True,19.0
5,Minnesota Twins,1,Cleveland Indians,28.0,1.0,0.25,0.308,0.381,0.6890000000000001,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,S,True,0.0
6,Milwaukee Brewers,0,Los Angeles Dodgers,28.0,0.0,0.27899999999999997,0.363,0.562,0.925,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,11.0
7,Chicago Cubs,0,Pittsburgh Pirates,24.0,0.0,0.301,0.342,0.41200000000000003,0.754,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,,True,0.0
8,Cleveland Indians,0,Minnesota Twins,31.0,0.0,0.248,0.312,0.446,0.758,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,L,True,0.0
9,Milwaukee Brewers,0,Los Angeles Dodgers,30.0,4.0,0.105,0.105,0.105,0.21100000000000002,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
10,Chicago White Sox,1,Kansas City Royals,25.0,0.0,0.245,0.29,0.41600000000000004,0.706,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,R,False,8.0
11,New York Yankees,1,Baltimore Orioles,23.0,0.0,0.297,0.32799999999999996,0.521,0.8490000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,R,False,8.0
12,Los Angeles Angels,0,Tampa Bay Rays,28.0,0.0,0.31,0.341,0.595,0.9359999999999999,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,3.0
13,Los Angeles Angels,0,Tampa Bay Rays,28.0,0.0,0.31,0.341,0.595,0.9359999999999999,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,3.0
14,Colorado Rockies,0,St. Louis Cardinals,27.0,0.0,0.309,0.39,0.578,0.968,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,R,False,14.0
15,St. Louis Cardinals,1,Colorado Rockies,24.0,0.0,0.27899999999999997,0.35200000000000004,0.441,0.7929999999999999,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,R,False,20.0
16,Chicago Cubs,0,Pittsburgh Pirates,25.0,0.0,0.295,0.327,0.573,0.9,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,R,False,18.0
17,Oakland Athletics,1,Toronto Blue Jays,22.0,21.0,0.24600000000000002,0.27,0.508,0.778,3.72,3.0,228.0,880.0,63%,13%,14%,44%,21%,9%,1.24,0.31,9.2,3.17,R,R,False,26.0
18,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.209,0.327,0.406,0.733,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,20.0
19,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.209,0.327,0.406,0.733,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,20.0
20,New York Mets,0,Washington Nationals,37.0,0.0,0.204,0.34700000000000003,0.37799999999999995,0.725,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,R,True,2.0
21,Baltimore Orioles,0,New York Yankees,28.0,0.0,0.221,0.281,0.35,0.631,4.84,1.0,579.0,2451.0,60%,13%,10%,51%,25%,6%,1.574,0.33299999999999996,9.3,1.9,R,R,False,7.0
22,Los Angeles Dodgers,1,Milwaukee Brewers,22.0,0.0,0.26,0.344,0.467,0.8109999999999999,5.08,0.0,166.0,733.0,63%,18%,12%,53%,21%,3%,1.3330000000000002,0.313,12.7,2.89,R,L,True,11.0
23,New York Yankees,1,Baltimore Orioles,25.0,2.0,0.20199999999999999,0.292,0.397,0.6890000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,L,True,5.0
24,Colorado Rockies,0,St. Louis Cardinals,31.0,0.0,0.278,0.345,0.479,0.8240000000000001,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,L,True,4.0
25,Pittsburgh Pirates,1,Chicago Cubs,25.0,10.0,0.33299999999999996,0.5,0.667,1.167,3.62,1.0,207.0,765.0,64%,19%,7%,49%,29%,5%,1.3090000000000002,0.299,6.3,1.94,R,R,False,0.0
26,Pittsburgh Pirates,1,Chicago Cubs,26.0,0.0,0.16699999999999998,0.21100000000000002,0.222,0.433,3.62,1.0,207.0,765.0,64%,19%,7%,49%,29%,5%,1.3090000000000002,0.299,6.3,1.94,R,L,True,0.0
27,Milwaukee Brewers,0,Los Angeles Dodgers,34.0,0.0,0.259,0.309,0.465,0.774,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,7.0
28,Houston Astros,0,Seattle Mariners,24.0,0.0,0.281,0.384,0.515,0.899,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,R,False,7.0
29,Los Angeles Angels,0,Tampa Bay Rays,25.0,11.0,0.29100000000000004,0.33299999999999996,0.43,0.764,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,R,False,0.0
30,Los Angeles Angels,0,Tampa Bay Rays,25.0,11.0,0.29100000000000004,0.33299999999999996,0.43,0.764,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,R,False,0.0
31,Cleveland Indians,0,Minnesota Twins,33.0,0.0,0.265,0.31,0.43200000000000005,0.742,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,S,True,3.0
32,Milwaukee Brewers,0,Los Angeles Dodgers,32.0,0.0,0.308,0.401,0.42700000000000005,0.8270000000000001,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,22.0
33,Los Angeles Angels,0,Tampa Bay Rays,30.0,0.0,0.22399999999999998,0.285,0.40399999999999997,0.688,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,18.0
34,Los Angeles Angels,0,Tampa Bay Rays,30.0,0.0,0.22399999999999998,0.285,0.40399999999999997,0.688,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,18.0
35,Detroit Tigers,1,Cincinnati Reds,24.0,0.0,0.23,0.322,0.409,0.731,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,S,True,7.0
36,Oakland Athletics,1,Toronto Blue Jays,29.0,0.0,0.24600000000000002,0.321,0.434,0.755,3.72,3.0,228.0,880.0,63%,13%,14%,44%,21%,9%,1.24,0.31,9.2,3.17,R,R,False,7.0
37,St. Louis Cardinals,1,Colorado Rockies,32.0,0.0,0.267,0.38,0.569,0.9490000000000001,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,L,True,15.0
38,Cincinnati Reds,0,Detroit Tigers,29.0,0.0,0.321,0.406,0.5,0.9059999999999999,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,R,False,11.0
39,Detroit Tigers,1,Cincinnati Reds,26.0,0.0,0.294,0.34700000000000003,0.496,0.843,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,,True,0.0
40,Minnesota Twins,1,Cleveland Indians,25.0,1.0,0.272,0.31,0.46299999999999997,0.773,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,L,False,0.0
41,Pittsburgh Pirates,1,Chicago Cubs,32.0,0.0,0.259,0.391,0.452,0.8420000000000001,3.62,1.0,207.0,765.0,64%,19%,7%,49%,29%,5%,1.3090000000000002,0.299,6.3,1.94,R,R,False,13.0
42,Oakland Athletics,1,Toronto Blue Jays,25.0,0.0,0.273,0.359,0.506,0.865,3.72,3.0,228.0,880.0,63%,13%,14%,44%,21%,9%,1.24,0.31,9.2,3.17,R,R,False,3.0
43,Tampa Bay Rays,1,Los Angeles Angels,27.0,0.0,0.263,0.341,0.474,0.815,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,2.0
44,Tampa Bay Rays,1,Los Angeles Angels,27.0,0.0,0.263,0.341,0.474,0.815,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,2.0
45,New York Mets,0,Washington Nationals,25.0,0.0,0.235,0.34600000000000003,0.40700000000000003,0.752,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,L,True,5.0
46,Chicago Cubs,0,Pittsburgh Pirates,26.0,0.0,0.267,0.358,0.41700000000000004,0.775,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,R,False,30.0
47,Tampa Bay Rays,1,Los Angeles Angels,28.0,1.0,0.252,0.318,0.47700000000000004,0.7959999999999999,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,0.0
48,Tampa Bay Rays,1,Los Angeles Angels,28.0,1.0,0.252,0.318,0.47700000000000004,0.7959999999999999,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,0.0
49,Seattle Mariners,1,Houston Astros,37.0,2.0,0.265,0.35,0.537,0.887,3.09,0.0,226.0,968.0,63%,19%,14%,37%,25%,6%,1.0659999999999998,0.293,13.5,5.53,R,R,False,14.0
50,Baltimore Orioles,0,New York Yankees,32.0,0.0,0.16899999999999998,0.245,0.317,0.563,4.84,1.0,579.0,2451.0,60%,13%,10%,51%,25%,6%,1.574,0.33299999999999996,9.3,1.9,R,L,True,7.0
51,Houston Astros,0,Seattle Mariners,25.0,15.0,0.17600000000000002,0.247,0.235,0.483,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,R,False,8.0
52,Oakland Athletics,1,Toronto Blue Jays,30.0,0.0,0.259,0.33399999999999996,0.5720000000000001,0.9059999999999999,3.72,3.0,228.0,880.0,63%,13%,14%,44%,21%,9%,1.24,0.31,9.2,3.17,R,R,False,7.0
53,Cleveland Indians,0,Minnesota Twins,37.0,5.0,0.24600000000000002,0.293,0.309,0.601,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,R,False,5.0
54,St. Louis Cardinals,1,Colorado Rockies,24.0,0.0,0.233,0.311,0.428,0.7390000000000001,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,R,False,5.0
55,Chicago White Sox,1,Kansas City Royals,25.0,0.0,0.228,0.321,0.413,0.733,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,L,True,0.0
56,Colorado Rockies,0,St. Louis Cardinals,32.0,0.0,0.23199999999999998,0.3,0.436,0.736,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,R,False,7.0
57,Toronto Blue Jays,0,Oakland Athletics,27.0,0.0,0.255,0.293,0.455,0.748,1.59,0.0,25.0,119.0,65%,13%,10%,36%,36%,0%,1.412,0.231,11.1,1.75,R,R,False,2.0
58,Los Angeles Dodgers,1,Milwaukee Brewers,31.0,0.0,0.23,0.32,0.41200000000000003,0.732,5.08,0.0,166.0,733.0,63%,18%,12%,53%,21%,3%,1.3330000000000002,0.313,12.7,2.89,R,R,False,24.0
59,Toronto Blue Jays,0,Oakland Athletics,25.0,20.0,0.16899999999999998,0.256,0.26,0.516,1.59,0.0,25.0,119.0,65%,13%,10%,36%,36%,0%,1.412,0.231,11.1,1.75,R,R,False,2.0
60,Kansas City Royals,0,Chicago White Sox,32.0,0.0,0.23199999999999998,0.303,0.386,0.6890000000000001,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,L,True,9.0
61,Tampa Bay Rays,1,Los Angeles Angels,27.0,0.0,0.294,0.35200000000000004,0.368,0.7190000000000001,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,10.0
62,Tampa Bay Rays,1,Los Angeles Angels,27.0,0.0,0.294,0.35200000000000004,0.368,0.7190000000000001,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,10.0
63,Washington Nationals,1,New York Mets,29.0,0.0,0.28800000000000003,0.371,0.389,0.759,3.38,2.0,452.0,1704.0,65%,15%,14%,50%,26%,5%,1.238,0.34299999999999997,9.4,5.05,R,L,True,3.0
64,Cleveland Indians,0,Minnesota Twins,35.0,0.0,0.23,0.316,0.47100000000000003,0.787,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,R,False,7.0
65,Cincinnati Reds,0,Detroit Tigers,25.0,0.0,0.297,0.35200000000000004,0.469,0.82,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,,True,8.0
66,Kansas City Royals,0,Chicago White Sox,31.0,1.0,0.21100000000000002,0.263,0.294,0.557,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,R,False,4.0
67,Los Angeles Angels,0,Tampa Bay Rays,24.0,0.0,0.276,0.321,0.377,0.698,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,R,False,0.0
68,Los Angeles Angels,0,Tampa Bay Rays,24.0,0.0,0.276,0.321,0.377,0.698,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,R,False,0.0
69,New York Mets,0,Washington Nationals,26.0,0.0,0.278,0.331,0.444,0.775,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,R,True,14.0
70,Minnesota Twins,1,Cleveland Indians,31.0,0.0,0.249,0.312,0.32299999999999995,0.635,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,R,True,0.0
71,St. Louis Cardinals,1,Colorado Rockies,32.0,21.0,0.18,0.278,0.298,0.5760000000000001,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,S,True,0.0
72,Pittsburgh Pirates,1,Chicago Cubs,26.0,0.0,0.276,0.345,0.43,0.774,3.62,1.0,207.0,765.0,64%,19%,7%,49%,29%,5%,1.3090000000000002,0.299,6.3,1.94,R,L,True,5.0
73,Colorado Rockies,0,St. Louis Cardinals,25.0,1.0,0.077,0.111,0.096,0.207,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,L,True,0.0
74,Pittsburgh Pirates,1,Chicago Cubs,35.0,0.0,0.28300000000000003,0.337,0.447,0.784,3.62,1.0,207.0,765.0,64%,19%,7%,49%,29%,5%,1.3090000000000002,0.299,6.3,1.94,R,R,False,0.0
75,Chicago White Sox,1,Kansas City Royals,27.0,0.0,0.23199999999999998,0.262,0.44,0.7020000000000001,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,R,False,0.0
76,St. Louis Cardinals,1,Colorado Rockies,28.0,4.0,0.22699999999999998,0.314,0.327,0.6409999999999999,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,L,True,0.0
77,Chicago White Sox,1,Kansas City Royals,27.0,4.0,0.28,0.31,0.391,0.701,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,S,True,12.0
78,New York Yankees,1,Baltimore Orioles,34.0,0.0,0.242,0.335,0.36700000000000005,0.7020000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,L,True,3.0
79,Minnesota Twins,1,Cleveland Indians,27.0,0.0,0.26,0.332,0.413,0.746,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,R,True,0.0
80,Houston Astros,0,Seattle Mariners,31.0,3.0,0.23199999999999998,0.29,0.48200000000000004,0.772,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,R,False,13.0
81,Cincinnati Reds,0,Detroit Tigers,28.0,0.0,0.31,0.358,0.489,0.847,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,L,True,0.0
82,Cleveland Indians,0,Minnesota Twins,30.0,0.0,0.259,0.312,0.435,0.747,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,R,False,5.0
83,Colorado Rockies,0,St. Louis Cardinals,32.0,0.0,0.28600000000000003,0.342,0.48,0.821,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,L,True,3.0
84,Cleveland Indians,0,Minnesota Twins,26.0,1.0,0.284,0.32,0.405,0.725,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,R,False,3.0
85,Houston Astros,0,Seattle Mariners,29.0,0.0,0.24600000000000002,0.324,0.40700000000000003,0.731,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,S,True,28.0
86,Detroit Tigers,1,Cincinnati Reds,26.0,0.0,0.228,0.301,0.42100000000000004,0.722,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,S,True,13.0
87,Kansas City Royals,0,Chicago White Sox,34.0,0.0,0.242,0.32299999999999995,0.35100000000000003,0.674,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,L,True,29.0
88,Seattle Mariners,1,Houston Astros,30.0,0.0,0.272,0.295,0.34,0.636,3.09,0.0,226.0,968.0,63%,19%,14%,37%,25%,6%,1.0659999999999998,0.293,13.5,5.53,R,L,True,0.0
89,Los Angeles Dodgers,1,Milwaukee Brewers,29.0,0.0,0.247,0.354,0.48,0.8340000000000001,5.08,0.0,166.0,733.0,63%,18%,12%,53%,21%,3%,1.3330000000000002,0.313,12.7,2.89,R,S,True,33.0
90,New York Yankees,1,Baltimore Orioles,28.0,5.0,0.27,0.33299999999999996,0.48200000000000004,0.816,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,L,True,11.0
91,Toronto Blue Jays,0,Oakland Athletics,26.0,0.0,0.228,0.287,0.45299999999999996,0.74,1.59,0.0,25.0,119.0,65%,13%,10%,36%,36%,0%,1.412,0.231,11.1,1.75,R,R,False,12.0
92,Houston Astros,0,Seattle Mariners,34.0,0.0,0.282,0.313,0.406,0.7190000000000001,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,R,False,5.0
93,Cleveland Indians,0,Minnesota Twins,32.0,1.0,0.191,0.285,0.36200000000000004,0.647,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,R,False,2.0
94,St. Louis Cardinals,1,Colorado Rockies,29.0,0.0,0.262,0.34299999999999997,0.433,0.7759999999999999,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,R,False,0.0
95,Chicago Cubs,0,Pittsburgh Pirates,34.0,1.0,0.154,0.154,0.154,0.308,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,L,True,3.0
96,Cincinnati Reds,0,Detroit Tigers,27.0,0.0,0.23600000000000002,0.301,0.318,0.619,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,S,True,13.0
97,Seattle Mariners,1,Houston Astros,27.0,0.0,0.28,0.36700000000000005,0.48100000000000004,0.847,3.09,0.0,226.0,968.0,63%,19%,14%,37%,25%,6%,1.0659999999999998,0.293,13.5,5.53,R,R,False,3.0
98,Chicago Cubs,0,Pittsburgh Pirates,23.0,0.0,0.23800000000000002,0.359,0.414,0.772,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,S,True,8.0
99,Washington Nationals,1,New York Mets,25.0,0.0,0.247,0.377,0.506,0.883,3.38,2.0,452.0,1704.0,65%,15%,14%,50%,26%,5%,1.238,0.34299999999999997,9.4,5.05,R,L,True,17.0
100,Seattle Mariners,1,Houston Astros,27.0,5.0,0.217,0.295,0.308,0.603,3.09,0.0,226.0,968.0,63%,19%,14%,37%,25%,6%,1.0659999999999998,0.293,13.5,5.53,R,R,False,6.0
101,Toronto Blue Jays,0,Oakland Athletics,25.0,2.0,0.239,0.298,0.475,0.773,1.59,0.0,25.0,119.0,65%,13%,10%,36%,36%,0%,1.412,0.231,11.1,1.75,R,R,False,2.0
102,Kansas City Royals,0,Chicago White Sox,25.0,1.0,0.23399999999999999,0.27699999999999997,0.312,0.589,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,S,True,11.0
103,Chicago Cubs,0,Pittsburgh Pirates,28.0,2.0,0.27399999999999997,0.337,0.39799999999999996,0.735,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,L,True,17.0
104,New York Yankees,1,Baltimore Orioles,28.0,0.0,0.245,0.364,0.45799999999999996,0.8220000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,S,True,9.0
105,Detroit Tigers,1,Cincinnati Reds,28.0,18.0,0.26,0.312,0.40299999999999997,0.715,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,R,False,5.0
107,Colorado Rockies,0,St. Louis Cardinals,35.0,0.0,0.221,0.32899999999999996,0.379,0.708,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,R,False,2.0
108,Detroit Tigers,1,Cincinnati Reds,28.0,0.0,0.266,0.309,0.387,0.696,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,R,False,16.0
109,New York Mets,0,Washington Nationals,31.0,0.0,0.27399999999999997,0.33,0.363,0.693,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,R,True,0.0
110,Baltimore Orioles,0,New York Yankees,32.0,0.0,0.28300000000000003,0.316,0.43,0.746,4.84,1.0,579.0,2451.0,60%,13%,10%,51%,25%,6%,1.574,0.33299999999999996,9.3,1.9,R,R,False,3.0
111,Detroit Tigers,1,Cincinnati Reds,26.0,12.0,0.204,0.261,0.359,0.619,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,R,False,8.0
112,Baltimore Orioles,0,New York Yankees,32.0,3.0,0.215,0.258,0.337,0.595,4.84,1.0,579.0,2451.0,60%,13%,10%,51%,25%,6%,1.574,0.33299999999999996,9.3,1.9,R,R,False,9.0
113,Los Angeles Dodgers,1,Milwaukee Brewers,33.0,0.0,0.282,0.335,0.47,0.804,5.08,0.0,166.0,733.0,63%,18%,12%,53%,21%,3%,1.3330000000000002,0.313,12.7,2.89,R,R,False,5.0
114,Houston Astros,0,Seattle Mariners,26.0,0.0,0.284,0.369,0.423,0.792,2.79,1.0,169.0,760.0,59%,16%,10%,35%,23%,9%,1.371,0.29100000000000004,9.5,2.16,R,L,True,3.0
115,Minnesota Twins,1,Cleveland Indians,25.0,0.0,0.233,0.32299999999999995,0.43799999999999994,0.7609999999999999,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,L,False,3.0
116,Washington Nationals,1,New York Mets,27.0,1.0,0.20199999999999999,0.284,0.262,0.546,3.38,2.0,452.0,1704.0,65%,15%,14%,50%,26%,5%,1.238,0.34299999999999997,9.4,5.05,R,R,False,5.0
117,Tampa Bay Rays,1,Los Angeles Angels,28.0,0.0,0.193,0.256,0.307,0.563,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,9.0
118,Tampa Bay Rays,1,Los Angeles Angels,28.0,0.0,0.193,0.256,0.307,0.563,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,9.0
119,Cleveland Indians,0,Minnesota Twins,24.0,0.0,0.28800000000000003,0.366,0.537,0.903,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,S,True,8.0
