,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
5484,Boston Red Sox,1,Tampa Bay Rays,31.0,0.0,0.257,0.282,0.371,0.653,3.3,0.0,238.0,956.0,62%,17%,14%,42%,22%,8%,1.203,0.308,9.9,3.5,R,R,False,0.0
5485,Baltimore Orioles,0,Cleveland Indians,24.0,0.0,0.22699999999999998,0.309,0.371,0.68,5.51,0.0,199.0,758.0,68%,18%,8%,62%,19%,3%,1.204,0.295,6.8,9.0,R,R,False,0.0
5486,Kansas City Royals,0,Chicago White Sox,24.0,0.0,0.23199999999999998,0.295,0.589,0.884,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,L,True,16.0
5487,St. Louis Cardinals,1,Milwaukee Brewers,23.0,0.0,0.289,0.325,0.526,0.852,1.45,0.0,244.0,990.0,65%,18%,13%,60%,19%,4%,1.032,0.264,10.2,3.33,R,R,False,0.0
5488,Texas Rangers,1,Los Angeles Angels,24.0,0.0,0.26899999999999996,0.345,0.47100000000000003,0.816,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,25.0
5489,Texas Rangers,1,Los Angeles Angels,24.0,0.0,0.26899999999999996,0.345,0.47100000000000003,0.816,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,25.0
5490,Los Angeles Angels,0,Texas Rangers,23.0,0.0,0.26899999999999996,0.348,0.52,0.868,7.01,0.0,410.0,1548.0,64%,16%,10%,38%,28%,7%,1.729,0.359,7.5,2.03,L,L,False,11.0
5491,Los Angeles Angels,0,Texas Rangers,23.0,0.0,0.26899999999999996,0.348,0.52,0.868,7.01,0.0,410.0,1548.0,64%,16%,10%,38%,28%,7%,1.729,0.359,7.5,2.03,L,L,False,11.0
5492,Oakland Athletics,1,Houston Astros,24.0,0.0,0.237,0.322,0.44299999999999995,0.765,2.65,1.0,666.0,2735.0,68%,18%,14%,30%,24%,13%,0.9309999999999999,0.271,11.8,7.69,R,L,True,3.0
5493,Miami Marlins,0,Washington Nationals,27.0,0.0,0.281,0.359,0.316,0.675,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,L,True,18.0
5494,St. Louis Cardinals,1,Milwaukee Brewers,27.0,3.0,0.275,0.319,0.409,0.728,1.45,0.0,244.0,990.0,65%,18%,13%,60%,19%,4%,1.032,0.264,10.2,3.33,R,R,False,3.0
5495,Chicago White Sox,1,Kansas City Royals,26.0,0.0,0.239,0.28,0.475,0.755,6.03,1.0,542.0,1934.0,65%,17%,9%,38%,26%,8%,1.6269999999999998,0.34700000000000003,6.3,2.18,R,L,True,5.0
5496,San Francisco Giants,0,Cincinnati Reds,27.0,0.0,0.25,0.308,0.34600000000000003,0.654,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,L,False,8.0
