,away,home,date
2,Miami Marlins,New York Yankees,2018-04-16
3,Washington Nationals,New York Mets,2018-04-16
4,Chicago White Sox,Oakland Athletics,2018-04-16
5,Colorado Rockies,Pittsburgh Pirates,2018-04-16
6,Los Angeles Dodgers,San Diego Padres,2018-04-16
7,Houston Astros,Seattle Mariners,2018-04-16
8,Texas Rangers,Tampa Bay Rays,2018-04-16
0,Boston Red Sox,Los Angeles Angels,2018-04-17
1,San Francisco Giants,Arizona D'Backs,2018-04-17
2,Philadelphia Phillies,Atlanta Braves,2018-04-17
3,St. Louis Cardinals,Chicago Cubs,2018-04-17
4,Baltimore Orioles,Detroit Tigers,2018-04-17
5,Cincinnati Reds,Milwaukee Brewers,2018-04-17
6,Cleveland Indians,Minnesota Twins,2018-04-17
7,Miami Marlins,New York Yankees,2018-04-17
8,Washington Nationals,New York Mets,2018-04-17
9,Chicago White Sox,Oakland Athletics,2018-04-17
10,Colorado Rockies,Pittsburgh Pirates,2018-04-17
11,Los Angeles Dodgers,San Diego Padres,2018-04-17
12,Houston Astros,Seattle Mariners,2018-04-17
13,Texas Rangers,Tampa Bay Rays,2018-04-17
14,Kansas City Royals,Toronto Blue Jays,2018-04-17
15,Kansas City Royals,Toronto Blue Jays,2018-04-17
0,Boston Red Sox,Los Angeles Angels,2018-04-18
1,San Francisco Giants,Arizona D'Backs,2018-04-18
2,Philadelphia Phillies,Atlanta Braves,2018-04-18
3,Baltimore Orioles,Detroit Tigers,2018-04-18
4,Cincinnati Reds,Milwaukee Brewers,2018-04-18
5,Cleveland Indians,Minnesota Twins,2018-04-18
6,Washington Nationals,New York Mets,2018-04-18
7,Chicago White Sox,Oakland Athletics,2018-04-18
8,Colorado Rockies,Pittsburgh Pirates,2018-04-18
9,Los Angeles Dodgers,San Diego Padres,2018-04-18
10,Houston Astros,Seattle Mariners,2018-04-18
11,Texas Rangers,Tampa Bay Rays,2018-04-18
12,Kansas City Royals,Toronto Blue Jays,2018-04-18
0,Boston Red Sox,Los Angeles Angels,2018-04-19
1,San Francisco Giants,Arizona D'Backs,2018-04-19
2,New York Mets,Atlanta Braves,2018-04-19
3,St. Louis Cardinals,Chicago Cubs,2018-04-19
4,Baltimore Orioles,Detroit Tigers,2018-04-19
5,Miami Marlins,Milwaukee Brewers,2018-04-19
6,Toronto Blue Jays,New York Yankees,2018-04-19
7,Pittsburgh Pirates,Philadelphia Phillies,2018-04-19
8,Houston Astros,Seattle Mariners,2018-04-19
0,San Francisco Giants,Los Angeles Angels,2018-04-20
1,San Diego Padres,Arizona D'Backs,2018-04-20
2,New York Mets,Atlanta Braves,2018-04-20
3,Cleveland Indians,Baltimore Orioles,2018-04-20
4,Houston Astros,Chicago White Sox,2018-04-20
5,Chicago Cubs,Colorado Rockies,2018-04-20
6,Kansas City Royals,Detroit Tigers,2018-04-20
7,Kansas City Royals,Detroit Tigers,2018-04-20
8,Washington Nationals,Los Angeles Dodgers,2018-04-20
9,Miami Marlins,Milwaukee Brewers,2018-04-20
10,Toronto Blue Jays,New York Yankees,2018-04-20
11,Boston Red Sox,Oakland Athletics,2018-04-20
12,Pittsburgh Pirates,Philadelphia Phillies,2018-04-20
13,Cincinnati Reds,St. Louis Cardinals,2018-04-20
14,Minnesota Twins,Tampa Bay Rays,2018-04-20
15,Seattle Mariners,Texas Rangers,2018-04-20
0,San Francisco Giants,Los Angeles Angels,2018-04-21
1,San Diego Padres,Arizona D'Backs,2018-04-21
2,New York Mets,Atlanta Braves,2018-04-21
3,Cleveland Indians,Baltimore Orioles,2018-04-21
4,Houston Astros,Chicago White Sox,2018-04-21
5,Chicago Cubs,Colorado Rockies,2018-04-21
6,Kansas City Royals,Detroit Tigers,2018-04-21
7,Washington Nationals,Los Angeles Dodgers,2018-04-21
8,Miami Marlins,Milwaukee Brewers,2018-04-21
9,Toronto Blue Jays,New York Yankees,2018-04-21
10,Boston Red Sox,Oakland Athletics,2018-04-21
11,Pittsburgh Pirates,Philadelphia Phillies,2018-04-21
12,Cincinnati Reds,St. Louis Cardinals,2018-04-21
13,Minnesota Twins,Tampa Bay Rays,2018-04-21
14,Seattle Mariners,Texas Rangers,2018-04-21
0,San Francisco Giants,Los Angeles Angels,2018-04-22
1,San Diego Padres,Arizona D'Backs,2018-04-22
2,Cleveland Indians,Baltimore Orioles,2018-04-22
3,Houston Astros,Chicago White Sox,2018-04-22
4,Chicago Cubs,Colorado Rockies,2018-04-22
5,Kansas City Royals,Detroit Tigers,2018-04-22
6,Washington Nationals,Los Angeles Dodgers,2018-04-22
7,Miami Marlins,Milwaukee Brewers,2018-04-22
8,Toronto Blue Jays,New York Yankees,2018-04-22
9,Boston Red Sox,Oakland Athletics,2018-04-22
10,Pittsburgh Pirates,Philadelphia Phillies,2018-04-22
11,Cincinnati Reds,St. Louis Cardinals,2018-04-22
12,Minnesota Twins,Tampa Bay Rays,2018-04-22
13,Seattle Mariners,Texas Rangers,2018-04-22
0,Cleveland Indians,Baltimore Orioles,2018-04-23
1,Seattle Mariners,Chicago White Sox,2018-04-23
2,Atlanta Braves,Cincinnati Reds,2018-04-23
3,San Diego Padres,Colorado Rockies,2018-04-23
4,Los Angeles Angels,Houston Astros,2018-04-23
5,Miami Marlins,Los Angeles Dodgers,2018-04-23
6,Minnesota Twins,New York Yankees,2018-04-23
7,Washington Nationals,San Francisco Giants,2018-04-23
8,Oakland Athletics,Texas Rangers,2018-04-23
0,Seattle Mariners,Chicago White Sox,2018-04-24
1,Atlanta Braves,Cincinnati Reds,2018-04-24
2,Chicago Cubs,Cleveland Indians,2018-04-24
3,San Diego Padres,Colorado Rockies,2018-04-24
4,Los Angeles Angels,Houston Astros,2018-04-24
5,Milwaukee Brewers,Kansas City Royals,2018-04-24
6,Miami Marlins,Los Angeles Dodgers,2018-04-24
7,Minnesota Twins,New York Yankees,2018-04-24
8,Arizona D'Backs,Philadelphia Phillies,2018-04-24
9,Washington Nationals,San Francisco Giants,2018-04-24
10,New York Mets,St. Louis Cardinals,2018-04-24
11,Oakland Athletics,Texas Rangers,2018-04-24
12,Boston Red Sox,Toronto Blue Jays,2018-04-24
0,Tampa Bay Rays,Baltimore Orioles,2018-04-25
1,Seattle Mariners,Chicago White Sox,2018-04-25
2,Atlanta Braves,Cincinnati Reds,2018-04-25
3,Chicago Cubs,Cleveland Indians,2018-04-25
4,San Diego Padres,Colorado Rockies,2018-04-25
5,Los Angeles Angels,Houston Astros,2018-04-25
6,Milwaukee Brewers,Kansas City Royals,2018-04-25
7,Miami Marlins,Los Angeles Dodgers,2018-04-25
8,Minnesota Twins,New York Yankees,2018-04-25
9,Arizona D'Backs,Philadelphia Phillies,2018-04-25
10,Detroit Tigers,Pittsburgh Pirates,2018-04-25
11,Detroit Tigers,Pittsburgh Pirates,2018-04-25
12,Washington Nationals,San Francisco Giants,2018-04-25
13,New York Mets,St. Louis Cardinals,2018-04-25
14,Oakland Athletics,Texas Rangers,2018-04-25
15,Boston Red Sox,Toronto Blue Jays,2018-04-25
0,Tampa Bay Rays,Baltimore Orioles,2018-04-26
1,Milwaukee Brewers,Chicago Cubs,2018-04-26
2,Atlanta Braves,Cincinnati Reds,2018-04-26
3,Seattle Mariners,Cleveland Indians,2018-04-26
4,Chicago White Sox,Kansas City Royals,2018-04-26
5,Minnesota Twins,New York Yankees,2018-04-26
6,Arizona D'Backs,Philadelphia Phillies,2018-04-26
7,Detroit Tigers,Pittsburgh Pirates,2018-04-26
8,New York Mets,St. Louis Cardinals,2018-04-26
9,Boston Red Sox,Toronto Blue Jays,2018-04-26
0,New York Yankees,Los Angeles Angels,2018-04-27
1,Detroit Tigers,Baltimore Orioles,2018-04-27
2,Tampa Bay Rays,Boston Red Sox,2018-04-27
3,Milwaukee Brewers,Chicago Cubs,2018-04-27
4,Seattle Mariners,Cleveland Indians,2018-04-27
5,Oakland Athletics,Houston Astros,2018-04-27
6,Chicago White Sox,Kansas City Royals,2018-04-27
7,Colorado Rockies,Miami Marlins,2018-04-27
8,Cincinnati Reds,Minnesota Twins,2018-04-27
9,Atlanta Braves,Philadelphia Phillies,2018-04-27
10,St. Louis Cardinals,Pittsburgh Pirates,2018-04-27
11,New York Mets,San Diego Padres,2018-04-27
12,Los Angeles Dodgers,San Francisco Giants,2018-04-27
13,Texas Rangers,Toronto Blue Jays,2018-04-27
14,Arizona D'Backs,Washington Nationals,2018-04-27
0,New York Yankees,Los Angeles Angels,2018-04-28
1,Detroit Tigers,Baltimore Orioles,2018-04-28
2,Tampa Bay Rays,Boston Red Sox,2018-04-28
3,Milwaukee Brewers,Chicago Cubs,2018-04-28
4,Seattle Mariners,Cleveland Indians,2018-04-28
5,Oakland Athletics,Houston Astros,2018-04-28
6,Chicago White Sox,Kansas City Royals,2018-04-28
7,Chicago White Sox,Kansas City Royals,2018-04-28
8,Colorado Rockies,Miami Marlins,2018-04-28
9,Cincinnati Reds,Minnesota Twins,2018-04-28
10,Atlanta Braves,Philadelphia Phillies,2018-04-28
11,St. Louis Cardinals,Pittsburgh Pirates,2018-04-28
12,New York Mets,San Diego Padres,2018-04-28
13,Los Angeles Dodgers,San Francisco Giants,2018-04-28
14,Los Angeles Dodgers,San Francisco Giants,2018-04-28
15,Texas Rangers,Toronto Blue Jays,2018-04-28
16,Arizona D'Backs,Washington Nationals,2018-04-28
0,New York Yankees,Los Angeles Angels,2018-04-29
1,Detroit Tigers,Baltimore Orioles,2018-04-29
2,Tampa Bay Rays,Boston Red Sox,2018-04-29
3,Milwaukee Brewers,Chicago Cubs,2018-04-29
4,Seattle Mariners,Cleveland Indians,2018-04-29
5,Oakland Athletics,Houston Astros,2018-04-29
6,Chicago White Sox,Kansas City Royals,2018-04-29
7,Colorado Rockies,Miami Marlins,2018-04-29
8,Cincinnati Reds,Minnesota Twins,2018-04-29
9,Atlanta Braves,Philadelphia Phillies,2018-04-29
10,St. Louis Cardinals,Pittsburgh Pirates,2018-04-29
11,New York Mets,San Diego Padres,2018-04-29
12,Los Angeles Dodgers,San Francisco Giants,2018-04-29
13,Texas Rangers,Toronto Blue Jays,2018-04-29
14,Arizona D'Backs,Washington Nationals,2018-04-29
0,Los Angeles Dodgers,Arizona D'Backs,2018-04-30
1,Kansas City Royals,Boston Red Sox,2018-04-30
2,Colorado Rockies,Chicago Cubs,2018-04-30
3,Milwaukee Brewers,Cincinnati Reds,2018-04-30
4,Texas Rangers,Cleveland Indians,2018-04-30
5,Tampa Bay Rays,Detroit Tigers,2018-04-30
6,New York Yankees,Houston Astros,2018-04-30
7,Philadelphia Phillies,Miami Marlins,2018-04-30
8,Toronto Blue Jays,Minnesota Twins,2018-04-30
9,San Diego Padres,San Francisco Giants,2018-04-30
10,Pittsburgh Pirates,Washington Nationals,2018-04-30
